ASIN,Parent ASIN,Title,Relationship
B09DQ7GS75,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Cal Golden Bears - Navy, 18oz) 18oz Cal Golden Bears - Navy",CHILD
B0C6B5YDRD,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Texas Southern University - Maroon, 18oz) 18oz Texas Southern University - Maroon",CHILD
B09DQ9J89P,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Ohio State Buckeyes - Red, 18oz) 18oz Ohio State Buckeyes - Red",CHILD
B0C6B79WX2,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Utah Utes - Red, 18oz) 18oz Utah Utes - Red",CHILD
B09DQ8WMYN,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Clemson Tigers - Orange, 18oz) 18oz Clemson Tigers - Orange",CHILD
B09DQ8XV7C,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Michigan State Spartans - Green, 18oz) 18oz Michigan State Spartans - Green",CHILD
B0CNKX3S4C,B0DJP6QDNZ,"Campus Colors College Stainless Steel, Double Walled, Vacuum Insulated, Reusable Collegiate Tumbler with Slider-Top Lid for Travel, Sports, and Coffee, 18 oz (Miami Hurricanes - Black, 18oz) 18oz Miami Hurricanes - Black",CHILD
B09DQBLVGK,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (West Virginia Mountaineers - Navy, 18oz) 18oz West Virginia Mountaineers - Navy",CHILD
B0CGW6GY29,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (LSU Tigers - Black, 18oz) 18oz LSU Tigers - Black",CHILD
B09DQ9VDW3,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Auburn Tigers - Navy, 18oz) 18oz Auburn Tigers - Navy",CHILD
B09DQB6LMG,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Penn State Nittany Lions - Navy, 18oz) 18oz Penn State Nittany Lions - Navy",CHILD
B0C6B3VSG9,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Morehouse College - Maroon, 18oz) 18oz Morehouse College - Maroon",CHILD
B09DQ62WHJ,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Georgetown Hoyas - Navy, 18oz) 18oz Georgetown Hoyas - Navy",CHILD
B09DQ8MR91,B0DJP6QDNZ,"Campus Colors College Stainless Steel, Double Walled, Vacuum Insulated, Reusable Collegiate Tumbler with Slider-Top Lid for Travel, Sports, and Coffee, 18 oz (Miami Hurricanes - Green, 18oz) 18oz Miami Hurricanes - Green",CHILD
B09DQ828CN,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Central Florida Knights - Black, 18oz) 18oz Central Florida Knights - Black",CHILD
B09DQBRG8F,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Georgia Bulldogs - Red, 18oz) 18oz Georgia Bulldogs - Red",CHILD
B09DQ8ZMYK,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Minnesota Golden Gophers - Maroon, 18oz) 18oz Minnesota Golden Gophers - Maroon",CHILD
B09DQ98TWZ,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Boston College Eagles - Maroon, 18oz) 18oz Boston College Eagles - Maroon",CHILD
B0BCX8DR9S,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Ohio State Buckeyes - Black, 18oz) 18oz Ohio State Buckeyes - Black",CHILD
B09DQ8Q7HS,B0DJP6QDNZ,"Campus Colors College Stainless Steel, Double Walled, Vacuum Insulated, Reusable Collegiate Tumbler with Slider-Top Lid for Travel, Sports, and Coffee, 18 oz (Oregon Ducks - Green, 18oz) 18oz Oregon Ducks - Green",CHILD
B09DQ9N8H8,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Washington State Cougars - Maroon, 18oz) 18oz Washington State Cougars - Maroon",CHILD
B0C6B9F82X,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Spelman College - Navy, 18oz) 18oz Spelman College - Navy",CHILD
B09DQ7WP8N,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Northwestern Wildcats - Purple, 18oz) 18oz Northwestern Wildcats - Purple",CHILD
B09DQ81ZQR,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Texas Tech Red Raiders - Red, 18oz) 18oz Texas Tech Red Raiders - Red",CHILD
B09DQ9MSHP,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Colorado Buffaloes - Black, 18oz) 18oz Colorado Buffaloes - Black",CHILD
B09DQ8MJS8,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Louisville Cardinals - Red, 18oz) 18oz Louisville Cardinals - Red",CHILD
B09DQ7XFJ2,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Texas Longhorns - Texas Orange, 18oz) 18oz Texas Longhorns - Texas Orange",CHILD
B09DQ6STGJ,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Yale Bulldogs - Navy, 18oz) 18oz Yale Bulldogs - Navy",CHILD
B09DQ8Z8HJ,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Florida State Seminoles - Maroon, 18oz) 18oz Florida State Seminoles - Maroon",CHILD
B09DQ8Q8T1,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Texas A&M Aggies - Maroon, 18oz) 18oz Texas A&M Aggies - Maroon",CHILD
B09DQ8HN4C,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Ole Miss Rebels - Navy, 18oz) 18oz Ole Miss Rebels - Navy",CHILD
B09DQ8LY32,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Cincinnati Bearcats - Black, 18oz) 18oz Cincinnati Bearcats - Black",CHILD
B0C6B6Z17V,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (Grambling State University - Black, 18oz) 18oz Grambling State University - Black",CHILD
B09DQ9MYD7,B0DJP6QDNZ,"Campus Colors NCAA Stainless Steel Tumbler perfect for Gameday - 18 oz - Double Walled - Keeps Drinks Perfectly Insulated (TCU Horned Frogs - Purple, 18oz) 18oz TCU Horned Frogs - Purple",CHILD
